Age,M,F
0-4,16327108,16168043
5-9,15670750,15607822
10-14,15027445,15003080
15-19,14169712,14178413
20-24,13039045,13113792
25-29,11943207,12084499
30-34,11038002,11233333
35-39,9996973,10240244
40-44,8770368,9050870
45-49,7340052,7662704
50-54,5917828,6279649
55-59,4611957,4988529
60-64,3544959,3920347
65-69,2674744,3045984
70-74,1817865,2153948
75-79,1073057,1340983
80-84,509302,683985
85-89,176272,264290
90-94,40228,74920
95-99,4848,12353
100+,282,1010
